,user,time,comment
0,JJ69,"Aug 23, 2018 2:59 AM","Hi all,Im deploying 4x VXRails HCI nodes for a VDI solution for Devs. Because of security requirements we will be leveraging NSX both for segregation/isolation and A/V etc. There will be two TOR switches. This will be our 1st NSX implementation.Question: Will this work with just 2 NICs per physical node? The VXRails come with 2x 10gb nics and this is as per the Dell/VMware RA for EUC. However the need for NSX with my pea sized brain, does not compute. I have the normal requirements for Management, vMotion, vSAN etc. However, to keep effective separation between Horizon server and desktop pools, I also planned separate DLR with separate Edges for server and desktop pools each VXLAN trunked to the TOR switch (using the switch as a VTEP gateway). I cant see how I could do this all over 2x NICs.Any help much appreciated.JJ"
1,Sreec,"Aug 23, 2018 3:35 AM","Will this work with just 2 NICs per physical node? The VXRails come with 2x 10gb nics and this is as per the Dell/VMware RA for EUC. However the need for NSX with my pea sized brain, does not compute. I have the normal requirements for Management, vMotion, vSAN etc. However, to keep effective separation between Horizon server and desktop pools, I also planned separate DLR with separate Edges for server and desktop pools each VXLAN trunked to the TOR switch (using the switch as a VTEP gateway).You can certainly leverage default NICs (2) for N-S and E-W traffic ,so Transit VLAN,VXLAN and all other traffic will exit via same set of interfaces which can be a potential bottleneck scenario based on the real use case also troubleshooting will be slightly difficult whenever situation demands .For DFW there are no changes happening at DVS level , ideally I prefer keeping VSAN/Management Traffic dedicated to default DVS/NICs and have 2-4 additional PCI slots for NSX traffic, this is one of the design I have implemented recently considering the use case. For VDI - micro segmentation is a good candidate and like you mentioned we can leverage DLR/Edges for routing scenarios between management subnets and desktop pools also NSX LB can be used we there are multiple Connection Servers and UAG instances .For hardware VTEP ensure that switch is supported and please note that we cannot use DLR in that case There is a good doc which covers few design scenarios as well- &gt;VMware NSX for vSphere End-User Computing Design Guide 1.2 Can check this doc for quick reference even though it covers very basic design scenarios for VXRAIL-NSX design. Security for Hyper-Converged Solutions: Dell EMC VxRAIL Appliances - VMware vSAN Readymades with VMware NSX-V "
2,JJ69,"Aug 23, 2018 5:03 AM","Thanks for that. I would prefer as you say to have separate NICs for NSX traffic. The plan was to place a NSX LB in-line of the UAGs and I have been trying to align with the EUC Design Guide where possible.Now for the stupid question: Why does the use of a hardware VTEP prevent the use of a DLR?Kind regards,JJ"
,user,time,comment
0,martin1975,"May 28, 2018 1:09 AM","i would like to know what are the software that will be bundled with vxrail , for eg..I understand it has its own management software, then the question is will I need additional vsan or nsx over and above what is provided..."
1,smitmartijn,"May 28, 2018 11:41 AM","Hi,There are a bunch of options when it comes to licensing a VxRail - you should contact your DellEMC representative to talk options.If you have an existing DellEMC relation, you might have access to see the licensing guide: https://support.emc.com/docu78571"
,user,time,comment
0,Dabrain99,"Jul 19, 2019 5:22 AM","Hi,i wanted to know if its possible for my customer to resell his VxRail including the VMware Vsan License.He is a Dell OEM Partner and Dell says its ok to resell the system including the VMware.The customer buys in Europe and will sell to China, India and Turkey.I guess he must also become a VMware Partner? Right?Please let me know if you have any valid informations."
1,daphnissov,"Jul 19, 2019 6:39 AM",I don't know if this is the best venue for such a question. I'd probably recommend he talk to his partner business manager to ask what the official process is and if there are any restrictions in those countries.
